Camera,Date,Time,Temp,Number,Species,Habitat,Trail,Attractants
SC1,3/19/2015,0:29:07,-11,1,Snowshoe Hare,Forest,None,Cover
SC1,4/27/2015,23:32:17,0,1,Snowshoe Hare,Forest,None,Cover
SC1,4/28/2015,1:50:44,0,1,Snowshoe Hare,Forest,None,Cover
SC1,5/7/2015,0:43:55,7,1,Snowshoe Hare,Forest,None,Cover
SC1,5/7/2015,23:09:23,13,1,Snowshoe Hare,Forest,None,Cover
SC2,5/23/2015,2:50:14,0,1,Snowshoe Hare,Grassland,Small,None
SC2,5/28/2015,4:20:23,6,1,Snowshoe Hare,Grassland,Small,None
SC2,2/10/2015,5:52:37,-11,1,Snowshoe Hare,Grassland,Small,None
SC2,2/13/2015,0:00:59,-21,3,Snowshoe Hare,Grassland,Small,None
SC2,2/18/2015,5:42:59,-22,2,Snowshoe Hare,Grassland,Small,None
SC2,2/19/2015,4:59:26,-30,1,Snowshoe Hare,Grassland,Small,None
SC2,3/11/2015,22:41:38,-5,1,Snowshoe Hare,Grassland,Small,None
SC2,3/15/2015,2:04:44,-2,1,Snowshoe Hare,Grassland,Small,None
SC2,3/18/2015,1:33:09,-12,2,Snowshoe Hare,Grassland,Small,None
SC2,3/22/2015,3:55:01,-18,1,Snowshoe Hare,Grassland,Small,None
SC3,3/23/2015,19:52:29,-9,1,Snowshoe Hare,Scrub,Large,Water
SC3,4/4/2015,2:54:06,-12,1,Snowshoe Hare,Scrub,Large,Water
SC3,4/4/2015,19:48:29,-6,1,Snowshoe Hare,Scrub,Large,Water
SC3,4/25/2015,23:19:20,2,1,Snowshoe Hare,Scrub,Large,Water
SC4,5/1/2015,3:45:44,-1,1,Snowshoe Hare,Scrub,Manmade,Manmade
SC4,5/9/2015,4:04:43,6,1,Snowshoe Hare,Scrub,Manmade,Manmade
SC4,5/17/2015,3:45:02,5,1,Snowshoe Hare,Scrub,Manmade,Manmade
SC4,5/24/2015,22:58:28,9,1,Snowshoe Hare,Scrub,Manmade,Manmade
SC4,9/15/2016,0:05:53,8,1,Snowshoe Hare,Scrub,Manmade,Manmade
SC4,12/28/2016,2:37:33,-11,2,Snowshoe Hare,Scrub,Manmade,Manmade
