Site,Species,Date,Time
CLBS_10,Deer-Female,2025-07-01,22:26
CLBS_10,Deer-Male,2025-07-02,6:51
CLBS_10,Deer-Unknown,2025-07-02,7:13
CLBS_10,Deer-Female,2025-07-02,23:16
CLBS_10,Deer-Female,2025-07-04,6:44
CLBS_4,Deer-Female,2025-07-03,0:59
CLBS_4,Deer-Female,2025-07-03,6:40
CLBS_4,Deer-Female,2025-07-03,7:11
CLBS_4,Deer-Female,2025-07-03,9:45
CLBS_4,Deer-Female,2025-07-03,11:03
CLBS_4,Deer-Female,2025-07-04,6:12
CLBS_4,Deer-Female,2025-07-04,18:15
CLBS_4,Black-Bear,2025-07-05,9:34
CLBS_4,Deer-Unknown,2025-07-06,22:11
CLBS_4,Deer-Female,2025-07-07,10:50
CLBS_5,Deer-Female,2025-07-03,6:23
CLBS_5,Deer-Juvenile,2025-07-03,6:23
CLBS_5,Deer-Female,2025-07-03,12:43
CLBS_5,Deer-Male,2025-07-03,16:16
CLBS_5,Deer-Female,2025-07-04,7:29
CLBS_5,Deer-Juvenile,2025-07-04,7:30
CLBS_5,Deer-Male,2025-07-04,9:22
CLBS_5,Deer-Female,2025-07-06,0:06
CLBS_5,Deer-Juvenile,2025-07-06,0:07
CLBS_5,Deer-Female,2025-07-06,3:45
CLBS_5,Deer-Female,2025-07-07,9:32
CLBS_5,Deer-Male,2025-07-07,15:55
CLBS_5,Deer-Male,2025-07-07,22:26
CLBS_6,Deer-Female,2025-07-03,23:59
CLBS_7,Deer-Female,2025-07-01,16:23
